Date,Pair,Interval,Indicator
2020-05-20 20:00:36+00:00,NEOBTC,4h,BB Squeeze
2020-05-20 20:00:36+00:00,NASBTC,4h,BB Squeeze
2020-05-20 20:00:36+00:00,CHZBTC,4h,BB Squeeze
2020-05-20 16:01:34+00:00,IOSTUSDT,1h,0.618 Fibonacci retracement
2020-05-20 16:01:34+00:00,ALGOUSDT,1h,0.618 Fibonacci retracement
2020-05-20 16:01:34+00:00,ETCBTC,1h,0.618 Fibonacci retracement
2020-05-20 16:01:34+00:00,ATOMUSDT,1h,0.618 Fibonacci retracement
2020-05-20 16:01:34+00:00,COSUSDT,1h,0.618 Fibonacci retracement
2020-05-20 16:01:34+00:00,WRXBTC,1h,0.618 Fibonacci retracement
2020-05-20 16:01:34+00:00,AIONUSDT,1h,0.618 Fibonacci retracement
2020-05-20 16:01:02+00:00,VETUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,WRXUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,MATICUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,LTCUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,ENJUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,BTCUSDT,15m,Abnormal Volatility alert
2020-05-20 16:01:02+00:00,EOSUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,XRPUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,OGNUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,BCHUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,MATICUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,COSUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,TRXUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,BTTUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,BTCUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,ETHUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,BNBUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,RVNUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,ZECUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,XMRUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,NANOUSDT,15m,RSI Extremely Oversold
2020-05-20 16:01:02+00:00,CHZUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,WAVESUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,NEOUSDT,15m,Near Horizontal Support
2020-05-20 16:01:02+00:00,ZILUSDT,15m,Near Horizontal Support
2020-05-20 16:00:59+00:00,ZRXBTC,4h,BB Squeeze
2020-05-20 16:00:59+00:00,RENUSDT,4h,0.618 Fibonacci retracement
2020-05-20 15:45:30+00:00,BATUSDT,15m,Near Horizontal Support
2020-05-20 15:45:30+00:00,LTCUSDT,15m,RSI Extremely Oversold
2020-05-20 15:30:32+00:00,BTCUSDT,15m,Abnormal Volatility alert
2020-05-20 15:30:32+00:00,ETCUSDT,15m,RSI Extremely Oversold
2020-05-20 15:30:32+00:00,RVNUSDT,15m,Near Horizontal Support
2020-05-20 14:00:32+00:00,ADAUSDT,1h,RSI Bearish Divergence
2020-05-20 12:00:31+00:00,INSBTC,1h,Hidden Bullish RSI Divergence (Beta)
2020-05-20 11:00:27+00:00,INSBTC,1h,Hidden Bullish RSI Divergence (Beta)
2020-05-20 08:00:42+00:00,TNTBTC,15m,Near Horizontal Support
2020-05-20 08:00:31+00:00,TNTBTC,1h,Near Horizontal Support
2020-05-20 07:00:38+00:00,ENJUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 07:00:27+00:00,LTOBTC,1h,Hidden Bullish RSI Divergence (Beta)
2020-05-20 06:45:24+00:00,KAVAUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 06:30:28+00:00,KAVABTC,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 06:30:28+00:00,KAVAUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 06:15:23+00:00,XTZBTC,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 06:00:30+00:00,XTZBTC,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 06:00:30+00:00,BANDBTC,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 05:45:25+00:00,XTZBTC,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 05:45:25+00:00,KAVAUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-20 04:00:31+00:00,BTTUSDT,4h,BB Squeeze
2020-05-20 03:00:25+00:00,ETCBTC,1h,BB Squeeze
2020-05-19 23:15:25+00:00,ZRXBTC,15m,Near Horizontal Support
2020-05-19 22:00:31+00:00,ADABTC,1h,RSI Extremely Overbought
2020-05-19 21:00:28+00:00,ADABTC,1h,Near Horizontal Resistance
2020-05-19 20:45:23+00:00,ADAUSDT,15m,RSI Extremely Overbought
2020-05-19 20:15:22+00:00,ETCUSDT,15m,Near Horizontal Support
2020-05-19 18:45:26+00:00,ADABTC,15m,RSI Extremely Overbought
2020-05-19 17:45:25+00:00,COSUSDT,15m,RSI Bullish Divergence
2020-05-19 17:45:25+00:00,ZRXUSDT,15m,Near Horizontal Support
2020-05-19 17:00:27+00:00,ALGOBTC,1h,Near Horizontal Support
